,Cities,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
529,muros,42.77,-9.06,53.6,93,0,7.16
530,taksimo,56.36,114.84,56.58,99,92,2.57
531,lavrentiya,65.58,-170.99,45.51,90,92,8.72
532,gat,14.69,-16.54,75.75,88,0,8.61
533,komsomolskiy,67.55,63.78,72.6,50,8,8.95
534,gisborne,-38.66,178.02,52.8,67,0,13.09
535,matay,28.42,30.79,85.2,39,0,4.7
536,rafaela,-31.25,-61.49,32.46,77,0,3.36
537,dubbo,-32.25,148.6,57.2,33,44,9.17
538,tooele,40.53,-112.3,82.24,35,1,5.82
539,teahupoo,-17.83,-149.27,78.8,69,75,6.93
540,narsaq,60.91,-46.05,44.6,93,92,3.36
541,nuuk,64.17,-51.74,42.8,100,88,6.93
542,skagastrond,,,,,,
543,kadykchan,,,,,,
544,kendari,-3.99,122.52,77.1,91,92,4.47
545,lahij,13.06,44.88,88.8,48,56,2.68
546,abu kamal,34.45,40.92,84.84,38,0,12.64
547,sayyan,15.17,44.32,71.43,55,0,3.58
548,husavik,50.56,-96.99,61.89,83,0,4.7
549,umm lajj,25.02,37.27,88.26,72,0,1.9
550,yuzhnyy,53.54,39.45,74.85,95,24,4.47
551,yurino,56.29,46.29,66.2,88,75,15.66
552,kutum,14.2,24.66,75.3,68,0,14.65
553,vaitape,-16.52,-151.75,79.44,100,44,13.65
554,szydlowiec,51.23,20.86,66.93,88,0,5.14
555,quarai,-30.39,-56.45,40.38,87,0,10.96
556,reinheim,49.83,8.83,68.67,64,0,9.17
557,jurm,36.86,70.83,58.11,49,0,0.56
558,shingu,33.72,135.99,86,84,40,9.17
559,ugoofaaru,5.67,73,81.24,100,68,18.68
560,vestmannaeyjar,63.44,-20.27,50.64,100,92,7.38
561,burica,,,,,,
562,biala podlaska,52.03,23.12,66.2,93,90,6.71
563,alofi,-19.06,-169.92,75.2,83,56,13.87
564,caohai,26.87,104.28,79.53,61,0,4.36
565,solnechnyy,50.72,136.64,65.04,79,20,7.49
566,sechura,-5.56,-80.82,65.94,86,48,10.96
567,el sauzal,-24.3,-64.96,37.4,86,0,1.68
568,anzio,41.45,12.63,71.08,68,0,4.7
569,shache,38.42,77.24,95.82,23,8,8.16
570,aykhal,65.95,111.51,48.93,52,8,9.06
571,caetite,-14.07,-42.48,59.46,97,24,8.16
572,mizan teferi,6.99,35.58,62.79,99,88,3.02
573,tashara,55.52,83.51,68.28,61,20,8.61
574,zhanaozen,43.35,52.85,87.9,44,80,12.75
575,concord,37.98,-122.03,68.7,72,1,5.82
576,saint anthony,43.97,-111.68,74.07,29,1,10.29
577,pitanga,-24.76,-51.76,65.58,68,92,9.4
578,avera,33.19,-82.53,74.21,94,1,2.46
579,zabol,31.03,61.49,102.2,9,0,33.33
580,yokadouma,3.52,15.05,69.18,96,64,2.68
581,savannah bight,16.45,-85.85,83.49,94,76,10.96
582,kyren,51.68,102.13,57.48,77,76,2.57
583,zhaotong,27.34,103.71,79.62,70,8,3.13
584,tillabery,,,,,,
585,gushikawa,26.35,127.87,82.94,83,90,20.8
586,longonjo,-12.91,15.25,39.03,76,0,4.14
587,ixtapa,20.71,-105.21,84.2,83,40,0.56
588,nueva guinea,11.69,-84.46,77.73,84,88,6.6
589,tawkar,,,,,,
590,vostok,46.45,135.83,72.78,100,100,2.68
591,atar,20.52,-13.05,74.13,40,0,6.93
592,laredo,27.51,-99.51,89.44,43,1,14.99
593,coihaique,-45.58,-72.07,38.17,80,24,4.7
594,berbera,,,,,,
595,dinguiraye,11.29,-10.71,68.55,98,76,3.69
596,dukat,42.44,22.31,64.86,82,0,1.68
597,ayame,5.61,-3.16,74.67,94,76,5.48
598,pokhara,28.21,83.99,78,70,24,2.57
599,yabrud,33.97,36.66,75.2,60,0,18.34
600,tiruvottiyur,,,,,,
601,senmonorom,,,,,,
602,muleba,-1.84,31.66,71.6,68,0,11.41
603,skeldon,5.88,-57.13,79.53,100,24,9.73
604,sulphur,30.24,-93.38,82.78,83,1,6.93
605,cockburn town,21.46,-71.14,82.14,98,0,19.8
606,soe,57.91,26.05,66.2,100,90,3.36
607,labutta,,,,,,
608,comodoro rivadavia,-45.87,-67.48,44.6,98,0,5.82
609,minab,27.15,57.07,98.6,53,0,4.7
610,nipawin,53.36,-104.02,64.4,88,1,6.93
